codigo,area,camada,video,titulo,cadernos_tec,links_tec
E01,Desenvolvimento,BASE,DvT2tEqDhYs,"Java: linguagem, OO e questões",Conceitos e Propriedades do Java | Códigos em Java,https://www.tecconcursos.com.br/questoes/cadernos/98202212/ | https://www.tecconcursos.com.br/questoes/cadernos/98202216/
E02,Desenvolvimento,BASE,DvT2tEqDhYs,JavaScript — três blocos,Javascript | AJAX | CSS,https://www.tecconcursos.com.br/questoes/cadernos/98201880/ | https://www.tecconcursos.com.br/questoes/cadernos/98201886/ | https://www.tecconcursos.com.br/questoes/cadernos/98201874/
E03,Arquitetura,BASE,DvT2tEqDhYs,SOA e Web Services,SOA - Arquitetura Orientada a Serviço | Conceitos Gerais de API e Web Services | REST e RESTful | UDDI | XML | JSON (JavaScript Object Notation),https://www.tecconcursos.com.br/questoes/cadernos/98202220/ | https://www.tecconcursos.com.br/questoes/cadernos/98202248/ | https://www.tecconcursos.com.br/questoes/cadernos/98202251/ | https://www.tecconcursos.com.br/questoes/cadernos/98202067/ | https://www.tecconcursos.com.br/questoes/cadernos/98201891/ | https://www.tecconcursos.com.br/questoes/cadernos/98201883/
E04,Desenvolvimento,BASE,DvT2tEqDhYs,Orientação a objetos,Análise e Projeto Orientado a Objetos | Paradigmas de Programação,https://www.tecconcursos.com.br/questoes/cadernos/98202209/ | https://www.tecconcursos.com.br/questoes/cadernos/98202058/
E05,Ágil,BASE,DvT2tEqDhYs,"Scrum, XP e questões",SCRUM | XP (Extreme Programming) | TDD e BDD,https://www.tecconcursos.com.br/questoes/cadernos/98202196/ | https://www.tecconcursos.com.br/questoes/cadernos/98202198/ | https://www.tecconcursos.com.br/questoes/cadernos/98202203/
E06,Frontend,BASE,DvT2tEqDhYs,HTML,HTML,https://www.tecconcursos.com.br/questoes/cadernos/98201872/
E07,Dados/IA,BASE,DvT2tEqDhYs,Big Data e questões,Conceitos de Big Data | Data Lake,https://www.tecconcursos.com.br/questoes/cadernos/98201938/ | https://www.tecconcursos.com.br/questoes/cadernos/98201946/
E08,BI,BASE,9dxtufizvC4,"DW, OLAP, dimensional e ETL/ELT","Business Intelligence e Analytics | Definições e Funções de Data Warehouse e Data Mart | ETL (Extração, Transformação e Carga) | OLAP e suas diferenças com OLTP | Ferramentas de Business Intelligence e Visualização de Dados",https://www.tecconcursos.com.br/questoes/cadernos/98201917/ | https://www.tecconcursos.com.br/questoes/cadernos/98201920/ | https://www.tecconcursos.com.br/questoes/cadernos/98201929/ | https://www.tecconcursos.com.br/questoes/cadernos/98201932/ | https://www.tecconcursos.com.br/questoes/cadernos/98201952/
E09,Segurança,BASE,9dxtufizvC4,ISO 27001,"Auditoria e Compliance (NBR ISO/IEC 27001, 27002, 27003, 27004 e 27007)",https://www.tecconcursos.com.br/questoes/cadernos/98204285/
E10,Banco de dados,BASE,9dxtufizvC4,Modelagem conceitual e relacional,Conceitos e Fases de Projeto e Modelagem de Dados | Modelo Entidade-Relacionamento (MER) | Conceitos e Fundamentos de Modelo Relacional | Normalização,https://www.tecconcursos.com.br/questoes/cadernos/98202261/ | https://www.tecconcursos.com.br/questoes/cadernos/98202266/ | https://www.tecconcursos.com.br/questoes/cadernos/98202271/ | https://www.tecconcursos.com.br/questoes/cadernos/98202272/
E11,Banco de dados,BASE,9dxtufizvC4,SQL,"Consultas e Comandos em SQL | Sublinguagens SQL (DDL, DML, DQL, DCL e DTL)",https://www.tecconcursos.com.br/questoes/cadernos/98202277/ | https://www.tecconcursos.com.br/questoes/cadernos/98202280/
E12,Governança,BASE,9dxtufizvC4,COBIT 2019,COBIT 2019,https://www.tecconcursos.com.br/questoes/cadernos/98202094/
